actor,flood_scenario,n_units,lhs_mean_failure_probability,lhs_p75_failure_probability,lhs_expected_stressed_margin
Farmer,High,400,0.2824125,0.77625,7970126.9050786495
Farmer,Low,400,0.1137125,0.0,18869260.592201177
Farmer,Medium,400,0.1598125,0.0,14596592.47633455
Middlemen,High,104,0.97375,1.0,-39673021.99370515
Middlemen,Low,104,0.7968028846153847,1.0,-3425226.0826756726
Middlemen,Medium,104,0.920889423076923,1.0,-17726391.39528068
Retail,High,102,1.0,1.0,-4787274.407312196
Retail,Low,102,0.9986519607843137,1.0,-2971211.223842331
Retail,Medium,102,1.0,1.0,-3691524.955085572
Rice Miller,High,105,0.9701666666666667,1.0,-72760742.60549784
Rice Miller,Low,105,0.4805,1.0,38501830.25425334
Rice Miller,Medium,105,0.7178095238095239,1.0,-5330359.834319026
Wholesaler,High,76,0.7463815789473685,1.0,-51333508.439515844
Wholesaler,Low,76,0.47302631578947374,1.0,154513333.60817653
Wholesaler,Medium,76,0.6087171052631579,1.0,73530897.32524863
