model,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,is_optional_booster
Ridge,4.869259243519836e-05,4.7425117269198835e-07,6.050106585074804e-05,1.4430648450618752e-10,0.9999985094783735,5.1743245305050556e-08,False
ElasticNet,0.00010836461713626198,2.4755255906196268e-06,0.0001347165129183566,1.0967605552430457e-09,0.9999926197366554,1.6655184298548155e-07,False
Lasso,0.0005096850467662165,1.2096125640838834e-05,0.0006336103184028177,2.5011097402076335e-08,0.9998367538659232,3.939490914499238e-06,False
LightGBM,0.02262330525177585,0.000718134711840676,0.028363368117765145,6.431000165187476e-05,0.6729683154221897,0.0168836336504008,True
Hist Gradient Boosting,0.023341850875628577,0.0005174765723971016,0.029165355520266337,5.236527310928274e-05,0.653859131409687,0.016101833813430572,False
CatBoost,0.024066385353656034,0.0006843734955400397,0.030121971912101076,5.7850835941716825e-05,0.6310681839732001,0.00941702094479583,True
Random Forest,0.02617212921083403,0.0005117943381075496,0.032679796723977916,6.047540272553129e-05,0.565642205742488,0.007902253813909268,False
XGBoost,0.02628105949302088,0.0002032424055365623,0.03278700557577561,4.346621400782652e-05,0.5624608904370628,0.007988680590109848,True
Extra Trees,0.02635920033299273,0.0005096145278091079,0.032838992722513394,5.925162791332576e-05,0.5613588863484801,0.008370923858495832,False
Dummy Mean,0.03996193363116294,0.0005408707176453723,0.049657270023465996,9.862590725254628e-05,-0.003515132744384234,0.0023850403564421433,False
