region,actor,n_units,median_base_margin,median_cost_revenue_ratio,median_cost_shock_tolerance,median_revenue_drop_tolerance,median_combined_buffer,already_failed_share,fragile_or_worse_share,dominant_resilience_label,dominant_predicted_vulnerability_label
Garut,Farmer,98,6111000.0,0.41724012360804813,1.3967020507106134,0.5827598763919518,0.5827598763919518,0.20408163265306123,0.23469387755102042,Resilient,Low Vulnerability
Garut,Middlemen,24,-6500000.0,1.3577741702741704,-0.2635004169369035,-0.35777417027417024,-0.35777417027417024,0.9166666666666666,1.0,Already Failed,High Vulnerability
Garut,Retail,23,-2600000.0,1.7428571428571429,-0.4262295081967213,-0.7428571428571429,-0.7428571428571429,0.9130434782608695,1.0,Already Failed,High Vulnerability
Garut,Rice Miller,24,10700692.78252611,0.8343007229654195,0.20011990526494042,0.1656992770345805,0.1656992770345805,0.4166666666666667,0.5,Already Failed,Low Vulnerability
Garut,Wholesaler,25,-7000000.0,1.0795454545454546,-0.07368421052631578,-0.07954545454545454,-0.07954545454545454,0.72,0.88,Already Failed,High Vulnerability
Indramayu,Farmer,62,17616000.0,0.5641353823411899,0.7726244701492437,0.4358646176588101,0.4358646176588101,0.08064516129032258,0.11290322580645161,Resilient,Low Vulnerability
Indramayu,Middlemen,16,-6617415.258776158,1.0874807510466988,-0.0803530912178312,-0.08748075104669877,-0.08748075104669877,0.5625,0.625,Already Failed,High Vulnerability
Indramayu,Retail,16,-3051000.0,2.1145,-0.5270632968016105,-1.1145,-1.1145,1.0,1.0,Already Failed,High Vulnerability
Indramayu,Rice Miller,17,21382891.73789168,0.8935617324505689,0.11911685973561889,0.10643826754943103,0.10643826754943103,0.11764705882352941,0.7058823529411765,Fragile,Low Vulnerability
Indramayu,Wholesaler,16,275500000.0,0.8271464646464646,0.20897710927730814,0.17285353535353537,0.17285353535353537,0.0,0.25,Moderate Buffer,Low Vulnerability
Karawang,Farmer,53,44410000.0,0.4823529411764706,1.0731707317073171,0.5176470588235295,0.5176470588235295,0.09433962264150944,0.09433962264150944,Resilient,Low Vulnerability
Karawang,Middlemen,14,-1525000.0,1.017790404040404,-0.01642364712342139,-0.017790404040404044,-0.017790404040404044,0.5,1.0,Already Failed,Medium Vulnerability
Karawang,Retail,16,-3070000.0,2.0233333333333334,-0.5057576787709895,-1.0233333333333334,-1.0233333333333334,1.0,1.0,Already Failed,High Vulnerability
Karawang,Rice Miller,14,-5688835.470085483,1.0644027757500236,-0.060399176933338364,-0.06440277575002354,-0.06440277575002354,0.7142857142857143,1.0,Already Failed,High Vulnerability
Karawang,Wholesaler,14,-3500000.0,1.018028350515464,-0.017708820340399285,-0.01802835051546392,-0.01802835051546392,0.5714285714285714,0.7857142857142857,Already Failed,High Vulnerability
Subang,Farmer,77,13120000.0,0.5085858585858586,0.9662363455809335,0.4914141414141414,0.4914141414141414,0.07792207792207792,0.11688311688311688,Resilient,Low Vulnerability
Subang,Middlemen,21,14840000.0,0.9223993288590604,0.08412914961346066,0.0776006711409396,0.0776006711409396,0.42857142857142855,0.5714285714285714,Already Failed,High Vulnerability
Subang,Retail,19,-2495000.0,1.7333333333333334,-0.4230769230769231,-0.7333333333333333,-0.7333333333333333,0.9473684210526315,1.0,Already Failed,High Vulnerability
Subang,Rice Miller,21,74124362.54852271,0.7525679967605681,0.3287835840807794,0.24743200323943196,0.24743200323943196,0.19047619047619047,0.23809523809523808,Moderate Buffer,Low Vulnerability
Subang,Wholesaler,21,67800000.0,0.6228310502283105,0.6055718475073314,0.3771689497716895,0.3771689497716895,0.14285714285714285,0.14285714285714285,Resilient,Low Vulnerability
Tasikmalaya,Farmer,110,7013500.0,0.4203703703703704,1.3788546255506609,0.5796296296296296,0.5796296296296296,0.01818181818181818,0.05454545454545454,Resilient,Low Vulnerability
Tasikmalaya,Middlemen,29,-7685346.798251651,1.2960858585858586,-0.22844617632732586,-0.29608585858585856,-0.29608585858585856,0.7931034482758621,1.0,Already Failed,High Vulnerability
Tasikmalaya,Retail,28,-3053750.0,2.017916666666667,-0.5044163871071172,-1.0179166666666668,-1.0179166666666668,1.0,1.0,Already Failed,High Vulnerability
Tasikmalaya,Rice Miller,29,2160000.0,0.9293403351248561,0.07603206511600595,0.07065966487514386,0.07065966487514386,0.27586206896551724,0.6896551724137931,Moderate Buffer,Medium Vulnerability
