sample_size,flood_scenario,actor,mean_failure_probability,n_units
100,High,Farmer,0.28325,400
100,High,Middlemen,0.97375,104
100,High,Retail,1.0,102
100,High,Rice Miller,0.9728571428571429,105
100,High,Wholesaler,0.7477631578947368,76
100,Low,Farmer,0.113625,400
100,Low,Middlemen,0.7964423076923077,104
100,Low,Retail,0.9987254901960785,102
100,Low,Rice Miller,0.4797142857142857,105
100,Low,Wholesaler,0.4722368421052632,76
100,Medium,Farmer,0.1598,400
100,Medium,Middlemen,0.9221153846153847,104
100,Medium,Retail,1.0,102
100,Medium,Rice Miller,0.7187619047619047,105
100,Medium,Wholesaler,0.6094736842105263,76
250,High,Farmer,0.28293,400
250,High,Middlemen,0.9732692307692308,104
250,High,Retail,1.0,102
250,High,Rice Miller,0.9694857142857144,105
250,High,Wholesaler,0.7466315789473684,76
250,Low,Farmer,0.11368,400
250,Low,Middlemen,0.7965769230769231,104
250,Low,Retail,0.9987058823529411,102
250,Low,Rice Miller,0.4801904761904762,105
250,Low,Wholesaler,0.4732631578947369,76
250,Medium,Farmer,0.15961999999999998,400
250,Medium,Middlemen,0.9216923076923076,104
250,Medium,Retail,1.0,102
250,Medium,Rice Miller,0.7188190476190476,105
250,Medium,Wholesaler,0.6092631578947368,76
500,High,Farmer,0.28275500000000003,400
500,High,Middlemen,0.97375,104
500,High,Retail,1.0,102
500,High,Rice Miller,0.9695238095238095,105
500,High,Wholesaler,0.7463157894736842,76
500,Low,Farmer,0.113645,400
500,Low,Middlemen,0.7966923076923076,104
500,Low,Retail,0.9986470588235293,102
500,Low,Rice Miller,0.48059047619047623,105
500,Low,Wholesaler,0.4731578947368421,76
500,Medium,Farmer,0.1597,400
500,Medium,Middlemen,0.9213269230769231,104
500,Medium,Retail,1.0,102
500,Medium,Rice Miller,0.7174857142857143,105
500,Medium,Wholesaler,0.6091578947368421,76
1000,High,Farmer,0.28288250000000004,400
1000,High,Middlemen,0.973701923076923,104
1000,High,Retail,1.0,102
1000,High,Rice Miller,0.9705428571428572,105
1000,High,Wholesaler,0.7469078947368422,76
1000,Low,Farmer,0.1136375,400
1000,Low,Middlemen,0.7967115384615385,104
1000,Low,Retail,0.9985588235294117,102
1000,Low,Rice Miller,0.4804380952380952,105
1000,Low,Wholesaler,0.47302631578947374,76
1000,Medium,Farmer,0.1596775,400
1000,Medium,Middlemen,0.9217211538461538,104
1000,Medium,Retail,1.0,102
1000,Medium,Rice Miller,0.7183333333333333,105
1000,Medium,Wholesaler,0.6093157894736843,76
